epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.5853,0.88438,4.05192,1.2068,0.32179,0.4544,0.31483,0.24905,0.8269,3.38521,1.1267,0.00017454,0.00017454,0.00017454
2,133.753,0.78186,2.94442,1.07037,0.50212,0.58725,0.58144,0.46889,0.81023,2.52261,1.12434,0.000315236,0.000315236,0.000315236
3,196.456,0.7534,2.24902,1.04956,0.70486,0.5845,0.6649,0.55497,0.747,2.06174,1.05597,0.000421216,0.000421216,0.000421216
4,258.855,0.72042,1.77266,1.02456,0.7342,0.73131,0.79593,0.67116,0.70116,1.54794,1.02342,0.000369778,0.000369778,0.000369778
5,320.808,0.68384,1.39673,0.99965,0.84689,0.75549,0.84698,0.7013,0.70029,1.21018,1.03316,0.000317704,0.000317704,0.000317704
6,382.489,0.65477,1.16466,0.98741,0.85636,0.80288,0.87624,0.73741,0.67687,1.04973,1.00103,0.00026563,0.00026563,0.00026563
7,446.429,0.63152,1.00267,0.97119,0.93215,0.79502,0.88825,0.75303,0.63275,0.90397,0.97819,0.000213556,0.000213556,0.000213556
8,509.005,0.60596,0.88142,0.95354,0.92304,0.82613,0.91389,0.77771,0.62251,0.80551,0.97449,0.000161482,0.000161482,0.000161482
9,568.651,0.58682,0.80572,0.9474,0.92862,0.83325,0.91825,0.78065,0.61939,0.7558,0.96356,0.000109408,0.000109408,0.000109408
10,630.16,0.56763,0.74431,0.9352,0.94742,0.8419,0.93527,0.7989,0.60556,0.71755,0.96008,5.7334e-05,5.7334e-05,5.7334e-05
